Round,player_0,player_0_rank,player_1,player_1_rank
Round of 16,Djokovic N.,1,Schwartzman D.,16
Round of 16,Zverev A.,3,Zapata Miralles B.,131
Round of 16,Nadal R.,5,Auger-Aliassime F.,9
Round of 16,Alcaraz C.,6,Khachanov K.,25
Round of 16,Ruud C.,8,Hurkacz H.,13
Round of 16,Rune H.,40,Tsitsipas S.,4
Round of 16,Rublev A.,7,Sinner J.,12
Round of 16,Cilic M.,23,Medvedev D.,2
Quarter,Zverev A.,3,Alcaraz C.,6
Quarter,Nadal R.,5,Djokovic N.,1
Quarter,Cilic M.,23,Rublev A.,7
Quarter,Ruud C.,8,Rune H.,40
Semis,Nadal R.,5,Zverev A.,3
Semis,Ruud C.,8,Cilic M.,23
Finals,Nadal R.,5,Ruud C.,8
